"Code","Name","Latitude","Longitude","YEAR","Depth","Reef Type","tCORALavg","tCORALstd","tFMAavg","tFMAstd","tLUTJavg","tLUTJstd","tSERRavg","tSERRstd","tCARAavg","tCARAstd","tSPHYavg","tSPHYstd","tCommBiomass","tACANavg","tACANstd","tSCARavg","tSCARstd","tHerbiBiomass"
"1032","Round Caye",16.4185,-88.0413,"2018",6,NA,10.33,7.89,37.25,10.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1032","Round Caye",16.4185,-88.0413,"2018",6.1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1874,1567,196,258,2132
"1037","Carrie Caye",16.51746,-88.19352,"2018",6.2,NA,NA,NA,NA,NA,387,452,11,36,92,151,0,0,490,1215,1640,175,433,1648
"1037","Carrie Caye",16.51746,-88.19352,"2018",8.8,NA,3.83,4.83,23.17,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038","Big White-Gladden Channel",16.5079,-87.9707,"2018",7.1,NA,NA,NA,NA,NA,646,1633,1,4,380,1138,0,0,1027,499,777,85,130,629
"1038","Big White-Gladden Channel",16.5079,-87.9707,"2018",7.4,NA,19.33,19.87,40.83,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1044","South of Carrie Bow Caye",16.64572,-88.0662,"2018",4.6,NA,NA,NA,NA,NA,2646,2518,0,0,43,99,649,1751,3338,1584,1214,1004,1155,2739
"1044","South of Carrie Bow Caye",16.64572,-88.0662,"2018",5.9,NA,8.5,5.32,15.33,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1045","Glover's Southwest",16.72,-87.8387,"2018",8.8,NA,28.5,10.33,23.5,11.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1045","Glover's Southwest",16.72,-87.8387,"2018",10.3,NA,NA,NA,NA,NA,317,648,0,0,634,2005,0,0,951,849,1134,120,121,970
"1052","Glover's NW",16.8856,-87.8102,"2018",4.9,NA,25.17,7.28,16.17,14.36,187,375,197,355,0,0,410,1297,794,1100,699,70,93,1193
"1057","West of Hat Caye",17.1692,-87.6317,"2018",7.2,NA,NA,NA,NA,NA,998,1263,62,167,681,1673,371,1172,2112,1216,1384,367,470,1686
"1057","West of Hat Caye",17.1692,-87.6317,"2018",7.6,NA,13.17,5.49,7.33,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1062_BR","1062_BR",17.25613,-87.95623,"2018",7.6,NA,NA,NA,NA,NA,364,397,127,185,17,45,0,0,508,1788,914,514,361,2149
"1062_DFR","1062_DFR",17.25871,-87.95925,"2018",10.7,NA,NA,NA,NA,NA,78,162,232,453,0,0,0,0,310,1187,975,500,462,1649
"1062_SFR","1062_SFR",17.2603,-87.96102,"2018",7.6,NA,NA,NA,NA,NA,0,0,23,42,16,45,0,0,39,1695,1882,710,374,2069
"1062SFR","1062SFR",17.2587,-87.9593,"2023",NA,"Atoll",6.833333,4.597705,0,0,0,0,10.498217691154,27.775673220212,60.948570982427,43.0971478453038,0,0,71.446788673581,110.09669131869,80.306859304412,460.45197971602,506.71063145405,616.80732277274
"1064","Paranga Grounding Site",17.31848,-88.0425,"2018",4.2,NA,NA,NA,NA,NA,26,59,0,0,110,243,0,0,136,4571,4022,471,341,4912
"1064","Paranga Grounding Site",17.31848,-88.0425,"2018",4.6,NA,6.17,4.07,16.25,6.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1068","Sandbore SPAG site",17.4303,-87.45177,"2018",6.1,NA,NA,NA,NA,NA,366,702,51,122,67,115,0,0,484,1667,1692,478,317,1984
"1068","Sandbore SPAG site",17.4303,-87.45177,"2018",6.7,NA,23,15.5,16.08,13.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1071_DFR","1071_DFR",17.47784,-87.78187,"2018",10.7,NA,NA,NA,NA,NA,398,578,24,44,0,0,0,0,422,2284,2194,800,1042,3326
"1071_SFR","1071_SFR",17.47736,-87.78485,"2018",7.6,NA,NA,NA,NA,NA,394,649,122,305,114,320,0,0,630,837,833,658,667,1504
"1076B","Mackerel Hole",17.7704,-87.9914,"2023",NA,"Barrier",4.083333,1.592081,18.5,6.745369,418.67699414603,716.78620928144,88.464374334896,154.62691961541,384.00361763293,271.531562028411,0,0,891.144986113856,623.7736259496,459.95369419789,3501.1493016989,4300.5513755193,4924.3250014689
"1076B","Mackerel Hole",17.77042,-87.99141,"2018",7,NA,NA,NA,NA,NA,563,421,124,329,25,54,41,129,753,1789,791,865,535,2324
"1076B","Mackerel Hole",17.77042,-87.99141,"2018",7.5,NA,11.17,12.25,26.83,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1077","Coral Gardens",17.81931,-87.98686,"2018",9.5,NA,7,6.69,23.83,8.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1077","Coral Gardens",17.81931,-87.98686,"2018",9.7,NA,NA,NA,NA,NA,508,284,271,477,54,96,41,129,874,617,545,487,390,1007
"1079","Tres Cocos",17.93406,-87.93876,"2018",5.3,NA,NA,NA,NA,NA,325,292,0,0,133,208,90,179,548,96,289,270,131,227
"1079","Tres Cocos",17.93406,-87.93876,"2018",8.3,NA,16,13.78,26.17,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080","Basil Jones",18.1125,-87.84692,"2018",8.9,NA,20.67,13.47,27.58,17.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080","Basil Jones",18.1125,-87.84692,"2018",9.6,NA,NA,NA,NA,NA,443,394,163,323,111,185,117,370,834,376,326,447,542,918
"1081","North of Alleys",18.17546,-87.828,"2018",5.8,NA,NA,NA,NA,NA,399,701,20,35,55,99,41,129,515,185,202,248,160,345
"1081","North of Alleys",18.17546,-87.828,"2018",6,NA,8.83,7.73,39.58,6.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106","Southwest Glovers patch",16.74339,-87.85077,"2018",1,NA,27.83,12.35,13.83,13.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106","Southwest Glovers patch",16.74339,-87.85077,"2018",1.2,NA,NA,NA,NA,NA,58,152,0,0,0,0,117,370,175,403,746,115,130,533
"1114","WEst HalfmoonCaye park edge",17.2591,-87.5558,"2018",1.1,NA,23.67,19.27,22.67,5.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1114","WEst HalfmoonCaye park edge",17.2591,-87.5558,"2018",1.9,NA,NA,NA,NA,NA,333,483,23,72,0,0,0,0,356,2357,2257,910,814,3171
"1128","East of Water Caye",17.38828,-88.0456,"2018",2.1,NA,NA,NA,NA,NA,727,761,0,0,56,177,15,46,798,1639,2768,165,223,1862
"1128","East of Water Caye",17.38828,-88.0456,"2018",2.6,NA,9.5,9.48,14,9.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
