Name,Latitude,Longitude,Reef.Type,tCommBiomass_avg,tHerbiBiomass_avg,tCORALavg_avg,tFMAavg_avg
1062-BR,17.25613,-87.95623,Reef Type,1787,1076,10.83,0.33
1062-DFR,17.2603,-87.96102,Reef Type,991,1205,10.83,3.5
1062-SFR,17.25871,-87.95925,Reef Type,420,1787,9.33,0.5
1062DFR,17.2603,-87.961,Reef Type,401.6428349,1278.047328,12.5,3.833333
1062SFR,17.2587,-87.9593,Reef Type,96.95972277,616.8073228,6.833333,0
1062_BR,17.25613,-87.95623,Reef Type,1097,2149,NA,NA
1062_DFR,17.25871,-87.95925,Reef Type,573,1649,NA,NA
1062_SFR,17.2603,-87.96102,Reef Type,433,2069,NA,NA
1071_DFR,17.47784,-87.78187,Reef Type,585,3326,NA,NA
1071_SFR,17.47736,-87.78485,Reef Type,894,1504,NA,NA
1206-BR,17.24913,-87.83865,Reef Type,730,698,11.5,9.5
1206-DFR,17.24799,-87.83336,Reef Type,363,668,13.5,27.58
1206-SFR,17.2486,-87.83705,Reef Type,3319,1360,16.83,11.58
1206DFR,17.248,-87.8334,Reef Type,686.1708516,1096.671898,13.833333,16.916667
1206SFR,17.2486,-87.8337,Reef Type,210.9793802,1232.3001,19.166667,13.166667
1206_DFR,17.24799,-87.83337,Reef Type,1093,4192,NA,NA
1206_SFR,17.2486,-87.83705,Reef Type,744,641,NA,NA
BANK 2,16.17936,-88.55684,Reef Type,1020,1448,10.17,4.17
BCMR31,18.11352,-87.83405,Reef Type,225,976,NA,NA
BCMR39,18.09995,-87.85304,Reef Type,607,1251,NA,NA
BZ1081,18.1755,-87.828,Reef Type,314.5425486,1505.927972,4.666667,38.5
BZ1229,17.6876,-88.0161,Reef Type,1610.402682,5773.25679,9.666667,7.833333
BZ1234,18.1807,-87.8284,Reef Type,615.9912538,4397.930771,2.666667,40.75
BZHCCD01,17.8684,-87.9722,Reef Type,953.3745693,2257.997971,13.5,29.5
BZHCCD02,17.8426,-87.9794,Reef Type,2078.160134,2301.088591,10.714286,31.571429
BZPHMR02,16.1595,-88.4102,Reef Type,427.9460716,3191.923,20.833333,8.166667
Baker Caye,16.5509,-88.1996,Reef Type,592.0411004,199.7005655,14.75,22.835
Bank 2,16.17936,-88.55684,Reef Type,4920,9447,NA,NA
Bank 3,16.15346,-88.59153,Reef Type,2186,1129,NA,NA
Bank 3,16.15347,-88.59154,Reef Type,79,472,3.17,25
Barracuda Patch,18.16878,-87.834,Reef Type,1327.5,2325,13.25,22.835
Basil Jones,18.08799,-87.86372,Reef Type,710,2752,14.5,18
Basil Jones,18.088,-87.8637,Reef Type,1650.156036,1947.455806,7.833333,32.583333
Basil Jones,18.1125,-87.84692,Reef Type,1006,918,20.67,27.58
Big White-Gladden Channel,16.5079,-87.9707,Reef Type,1121,629,19.33,40.83
Bugle's Caye,16.4903,-88.3236,Reef Type,2188.945176,1549.444814,18.97444433,12.33222233
Bully Bay,17.25097,-87.8386,Reef Type,406,1875,15.5,13.83
CB-BR,17.15853,-87.91022,Reef Type,11556,3182,27,8.17
CB-SFR,17.15698,-87.90921,Reef Type,991,1678,18.67,5.92
CBDFR,17.157,-87.9079,Reef Type,4285.294266,930.4880273,20.666667,23.583333
CBSFR,17.157,-87.9092,Reef Type,2136.988371,867.5606814,20.5,4.166667
CB_BR,17.15853,-87.91023,Reef Type,2778,2705,NA,NA
CB_DFR,17.14891,-87.90773,Reef Type,960,3918,NA,NA
CB_SFR,17.15698,-87.90921,Reef Type,1014,1369,NA,NA
CZ2-DFR,17.51001,-87.74921,Reef Type,801,1398,8.83,23.58
CZ2_DFR,17.51001,-87.74921,Reef Type,221,1597,NA,NA
CZ2_SFR,17.5101,-87.7499,Reef Type,1133.950327,3974.789798,15.833333,9.166667
CZ2_SFR,17.51015,-87.74994,Reef Type,1054,3098,NA,NA
CZFR2,16.7369,-87.8077,Reef Type,618.5768545,2239.962584,23.166667,27.583333
Carrie Caye,16.51746,-88.19352,Reef Type,1041,1648,3.83,23.17
Carrie Caye,16.5175,-88.1935,Reef Type,1492.64081,2703.216544,12.833333,6.5
Carrie Caye,16.51861,-88.19308,Reef Type,152,1054,2.17,7.92
Caye Caulker Southern Channel,17.7256,-88.0109,Reef Type,2893.880591,5211.435282,11.666667,16.166667
Caye Chapel,17.68764,-88.01608,Reef Type,487,1779,43.83,4.5
Caye Glory,17.0853,-87.9878,Reef Type,1526.117659,6527.589192,11,13.666667
Caye Glory,17.0975,-88.0077,Reef Type,2859.987289,1523.269989,11.5,7.833333
Cockroach Zone,17.51,-87.7492,Reef Type,1056.128187,2758.21455,7.833333,9.333333
Control,18.06742,-87.86975,Reef Type,402,1335,NA,NA
Coral Forest,16.1791,-88.34,Reef Type,1322.134258,5862.993939,38,0.666667
Coral Gardens,17.8193,-87.9869,Reef Type,484.6094659,1218.119736,4.666667,33.5
Coral Gardens,17.81931,-87.98686,Reef Type,755,1326.5,9.585,18.83
Coral Lane,17.3072,-88.0538,Reef Type,2143.424276,2854.064084,27.333333,1
Corona Caiman,15.95446,-88.28024,Reef Type,108,838,59.83,9.67
Corona Caiman,15.9545,-88.2802,Reef Type,338.0483665,838.7030942,50.333333,11.666667
Corona Caiman sensor temp,15.9695,-88.2985,Reef Type,217.8706047,879.3338433,24.666667,28
Corona Caiman sensor temp,15.96953,-88.29851,Reef Type,342,751,31.33,38.42
Daly Bank,16.33054,-88.34744,Reef Type,1085,3829,NA,NA
Daly Bank,16.33055,-88.34744,Reef Type,101,631,11,7.58
East Snake Caye,16.20594,-88.50809,Reef Type,3473.5,4997,16.33,9.83
East of Turneffe Flats,17.41428,-87.8094,Reef Type,2039,5630,14,18.17
East of Water Caye,17.385,-88.04222,Reef Type,655,10780,39.83,0.5
East of Water Caye,17.38828,-88.0456,Reef Type,1293,1862,9.5,14
False Caye,16.6034,-88.3342,Reef Type,615.0447749,1135.417129,3.333333,34.833333
Fido's Secret Wall,18.17344,-87.82841,Reef Type,2035,2946,NA,NA
French Man,16.17925,-88.6364,Reef Type,16393,18715,NA,NA
Frenchman,16.17925,-88.63641,Reef Type,394,664,16.5,9.58
Gallows,17.4496,-88.0324,Reef Type,477,6722,46.17,0
Gallows Flat,17.4496,-88.0324,Reef Type,2835,6321,12.5,23.17
Gladden Caye,16.558,-88.0507,Reef Type,795.4938724,2961.242071,14.391111,8.527777667
Gladden Spit,16.45231,-88.04171,Reef Type,338,1921,35,10
Glover's NW,16.8856,-87.8102,Reef Type,825,1193,25.17,16.17
Glover's North Inner Patch,16.8864,-87.7801,Reef Type,1800.606367,1825.614702,17.833333,43.166667
Glover's North Inner Patch,16.88644,-87.78005,Reef Type,46,92,12.83,29.67
Glover's North inner patch,16.88644,-87.78005,Reef Type,300,371,13.33,22
Glover's Northeast,16.88532,-87.70304,Reef Type,100,986,32.17,10.67
Glover's Reef Northeast,16.8853,-87.703,Reef Type,658.008112,4649.436877,26.333333,10.333333
Glover's Reef Northeast,16.88532,-87.70304,Reef Type,164,404,21.5,14.83
Glover's Reef Northwest,16.8856,-87.8102,Reef Type,330,687,28.33,4.5
Glover's Reef Northwest(east),16.8856,-87.8102,Reef Type,1784.191602,7080.337922,33.166667,5.25
Glover's Southwest,16.72,-87.8387,Reef Type,1016,970,28.5,23.5
Glovers Reef,16.7841,-87.75241,Reef Type,1073,1439,27.83,19.83
Glovers Reef Southwest,16.72,-87.8387,Reef Type,346,480,28.17,17.17
"Glovers Reef, Glovers Reef",16.7841,-87.7524,Reef Type,750.2731612,3073.157726,31.666667,30.416667
Glover’s Reef,16.7705,-87.8716,Reef Type,1886.650247,5435.363059,27.666667,2.916667
Glover’s Reef Southwest,16.72,-87.8387,Reef Type,1788.544864,2887.192857,27.333333,9.75
Goff's Caye,17.3521,-88.0385,Reef Type,525.5041163,1938.914036,33.5,6
Hol Chan,17.85897,-87.97327,Reef Type,682,694,22.83,42.67
LHRA,17.1242,-87.6208,Reef Type,639.9447892,637.7976184,5.285714,48.928571
LHRA,17.131,-87.6064,Reef Type,832.8656995,859.833355,11.5,5.5
LHRA,17.1352,-87.6206,Reef Type,182.4880169,1061.752566,6.25,35.875
LHRA,17.1862,-87.6121,Reef Type,704.6728163,1046.74607,23.25,7.375
LHRA,17.2032,-87.5422,Reef Type,18650.7296,1398.888966,13.875,26.4375
LHRA,17.2032,-87.5249,Reef Type,1262.752526,545.9579151,5.75,11
LHRA,17.2034,-87.5281,Reef Type,169.7227779,1166.365004,5.375,0.75
LHRA,17.2066,-87.5307,Reef Type,3729.793738,1205.646876,9.125,8.75
LHRA,17.2237,-87.5638,Reef Type,10869.52356,1264.032909,12.5,28.0625
LHRA,17.2243,-87.6046,Reef Type,133.0490266,490.5097594,10.75,5.5
LHRA,17.226,-87.6015,Reef Type,151.3736418,290.9296167,20.571429,25.428571
LHRA,17.2574,-87.572,Reef Type,101.7745452,348.3026059,11.5,7.5
LHRA,17.3097,-87.5836,Reef Type,3117.413313,637.8121081,16.75,15.5
LHRA,17.3147,-87.5345,Reef Type,3021.723192,858.290252,14,32.75
LHRA,17.3165,-87.5302,Reef Type,1758.604032,2587.297284,10.375,18.4375
LHRA,17.3837,-87.5184,Reef Type,1886.477312,143.5704733,3.875,65.8125
LHRA,17.3923,-87.4624,Reef Type,1004.254364,572.6295773,8,15.0625
LHRA,17.3936,-87.4635,Reef Type,150.0141026,755.2611304,17.25,1
LHRA,17.4381,-87.534,Reef Type,161.3377826,1040.422588,3.875,4.875
LHRA,17.4432,-87.5293,Reef Type,1538.88029,1596.354698,15.5,19.3125
LHRA,17.4459,-87.5283,Reef Type,806.374193,1185.401974,9.75,28.6875
LHRA,17.4618,-87.4986,Reef Type,192.7914276,19891.61557,8,20.25
LHRA,17.4719,-87.4873,Reef Type,213.2285662,2888.580185,4,34
LHRA,17.4735,-87.4864,Reef Type,1366.571885,1050.969344,5.25,36.5
Last Resort,18.16356,-87.83042,Reef Type,985,549,NA,NA
Laughing Bird 1,16.42794,-88.20604,Reef Type,585,1063,9.33,9.67
Laughing Bird 2,16.44383,-88.19778,Reef Type,1683,900,7.67,26.67
Laughing Bird Caye 1,16.4279,-88.206,Reef Type,471.946914,2253.52231,6.833333,13.583333
Laughing Bird Caye 2,16.4438,-88.1978,Reef Type,1671.181492,7881.967702,7.333333,8.416667
Lighthouse,17.129,-87.615,Reef Type,251,473,20.83,8.33
Lighthouse,17.2574,-87.572,Reef Type,904,2080,21.33,5
Lighthouse,17.3097,-87.584,Reef Type,3389,2373,26.33,6.17
Lighthouse,17.3513,-87.482,Reef Type,1758,1628,16.17,20.42
MP-DFR,17.62112,-87.78891,Reef Type,289,2144,12.17,25.5
MP-SFR,17.62051,-87.78842,Reef Type,555,2599,21.33,21
MP_DFR,17.62305,-87.79146,Reef Type,672,1635,NA,NA
MP_SFR,17.62194,-87.78979,Reef Type,320,2010,NA,NA
Mackerel Hole,17.7704,-87.9914,Reef Type,1799.710113,4924.325001,4.083333,18.5
Mackerel Hole,17.77042,-87.99141,Reef Type,781,2324,11.17,26.83
Mauger Point,17.6205,-87.7884,Reef Type,3035.052568,2941.304136,26.666667,23.75
Mauger Point,17.6211,-87.7889,Reef Type,2407.476202,3243.481058,13.666667,14.916667
Mexico Rocks,17.99067,-87.90297,Reef Type,180,507,20.17,29.17
Mexico Rocks,17.9907,-87.903,Reef Type,149.0266336,1242.65042,9.166667,40.416667
Middle Snake Caye,16.20152,-88.55112,Reef Type,6583,14750,NA,NA
Middle Snake Caye,16.20153,-88.55112,Reef Type,1435,1146,15.33,10.17
"NA,NA",16.4563,-88.2097,Reef Type,1240.175714,2191.739152,5.166667,7.583333
NE Range,16.6584,-88.0956,Reef Type,1001.661504,1123.385226,6.916667,27.416667
Near Wee Wee Caye,16.75744,-88.14417,Reef Type,1283,3396,11.33,0.5
Nicholas Caye,16.1123,-88.256,Reef Type,4883.959751,1876.379359,21,16.166667
North Gallows,17.4882,-88.04193,Reef Type,540,5157,30.5,4
North of Alleys,18.17546,-87.828,Reef Type,666,1626.5,13.08,34.08
North of Caye Caulker MR,17.79961,-87.99541,Reef Type,325,533,38.17,14.33
North of Caye Caulker Marine Reserve,17.7996,-87.9954,Reef Type,668.5023657,1477.726785,8.333333,16
North of Caye Caulker Marine Reserve,17.79961,-87.99541,Reef Type,2934,2057,24.33,13.67
North of Hol Chan MR,17.8817,-87.96947,Reef Type,990,824,9.915,23.915
North of Hol Chan Marine Reserve,17.8817,-87.9695,Reef Type,3768.32688,587.3485826,5.333333,21.583333
North of Mexico Rocks,18.186,-87.83305,Reef Type,8917.5,667,13.085,13
North of Middle Caye,16.75118,-87.8214,Reef Type,839,3199,6.17,40.67
North of Middle Caye,16.75118,-87.82139,Reef Type,1054,260,15.5,30.92
North of Middle Caye,16.7512,-87.8214,Reef Type,3752.216046,6858.723036,15.333333,25.416667
Nothing Special,16.1548,-88.3299,Reef Type,597.3738662,1205.344219,12.833333,15
Palm Spring,18.06523,-87.87831,Reef Type,205,573,NA,NA
Paranga Grounding,17.3185,-88.0425,Reef Type,989.3765748,2742.57433,12.166667,4.583333
Paranga Grounding Site,17.31848,-88.0425,Reef Type,454,4858,16.92,9.04
Pig Sty,18.18163,-87.82744,Reef Type,1166,1038,NA,NA
Pompion,16.3731,-88.0892,Reef Type,3603.162312,1612.672224,7.333333,42.833333
Preservation Zone,16.1506,-88.2429,Reef Type,936.2070665,9970.198881,12,8
R10 DFR,17.3097,-87.58365,Reef Type,368,2454,15.83,2.17
R11 SFR,17.25742,-87.57198,Reef Type,536,658,17,7.17
R13 SFR,17.22598,-87.60154,Reef Type,525,843,12.83,40.25
R15 DFR,17.20323,-87.54223,Reef Type,909,2927,15.33,30.67
R16 DFR,17.20319,-87.52493,Reef Type,449,1659,2.67,23.17
R17 SFR,17.20341,-87.52811,Reef Type,319,914,5.83,0
R18 BR,17.18617,-87.61214,Reef Type,183,795,17.33,13.5
R2 SFR,17.47189,-87.48732,Reef Type,165,613,4.67,22.83
R20 SFR,17.13101,-87.60639,Reef Type,375,749,10.83,7.67
R21 BR,17.13524,-87.62064,Reef Type,462,1204,6.5,34.25
R4 DFR,17.44595,-87.52826,Reef Type,1105,998,9.33,37.25
R6 DFR,17.39226,-87.46236,Reef Type,594,974,14.33,11.33
R7 SFR,17.39364,-87.46348,Reef Type,199,847,17.67,12.67
R9 BR,17.31648,-87.53019,Reef Type,2033,5414,6.5,17.67
Rainbow Reef,18.08934,-87.86808,Reef Type,159,795,NA,NA
Ranguana,16.331,-88.1497,Reef Type,1086.897478,3731.028409,15.333333,10.166667
Rendezvous,17.2451,-88.0522,Reef Type,816.8563824,1292.909265,26.5,1
Rendezvous Caye Patch,17.24508,-88.05223,Reef Type,654.5,5021.5,31.585,11.25
Rise & Fall,16.0682,-88.3011,Reef Type,1681.117823,2124.994498,8,28
Robinson Point Caye,17.3568,-88.1709,Reef Type,749.2184374,916.0522159,2.333333,3.833333
Robinson area flats,17.3524,-88.1501,Reef Type,2881.99837,1790.670466,14.166667,3.916667
Rocky Point North,18.11949,-87.82177,Reef Type,267,1175,NA,NA
Round Caye,16.4185,-88.0413,Reef Type,4.5,1300.5,10.75,36.79
SP-DFR,17.33406,-87.78709,Reef Type,345,2446,20.33,33.33
SP_DFR,17.33406,-87.78709,Reef Type,551,1431,NA,NA
SP_SFR,17.33352,-87.78812,Reef Type,619,1813,NA,NA
SP_SFR,17.3344,-87.7877,Reef Type,862.5447811,2210.810353,18.333333,11.25
SWCCZFR1,16.88466,-88.06055,Reef Type,439,2161,27.17,48
